Nama Pengguna,Rating,Ulasan,Tanggal
Junaedi chanel,1,gk bisa di buat live,2025-08-31 20.08.24
Obby Shadega,1,aplikasi penghianat,2025-08-31 20.07.25
Andria Setiajaya,1,"jelek lah, ga jelas",2025-08-31 19.29.42
wong deso,1,aplikasi makin buruk gk bisa live ...buat apa klo gk bisa liveee ...,2025-08-31 19.12.49
Maya Aulia,1,Gak jelas banget nih aplikasi tiba2 ke hapus sendiri 👎🏻 fitur live nya juga di non aktif kan haduhhh gimana mau jualan,2025-08-31 18.47.35
Amoy Facebook Indonesia,1,I was not happy when the TikTok live fixture was removed in Indonesia.,2025-08-31 18.42.50
Lilac Amaria,1,Kacung Pemerintah,2025-08-31 18.25.55
Home,1,"tiba² fitur livenya d non aktif kan,dan sering ngleg juga sudah d keluarin tp suara masih ada kan aneh",2025-08-31 18.03.31
Heris Heris,1,"kacung pemerintah.,.",2025-08-31 18.01.52
Adi Les,1,buka live'nya woy.,2025-08-31 17.50.47
Tepizkan Laraqu,1,"fitur live hilang di Indonesia "" tik tok dibayar berapa oleh pejabat Indonesia",2025-08-31 17.45.50
Hupni Tami,1,kenapa live dihilangkan saat demo di indonesia,2025-08-31 17.14.39
Deli Nasution,1,👎👎👎,2025-08-31 16.57.58
Chika Caca,1,tiktok busuk,2025-08-31 16.57.07
Neng Oneng,1,tiktok Indonesia down,2025-08-31 16.41.29
Hafish Dzaky Zahran,1,fitur live hilang,2025-08-31 16.24.41
Puji Astuti,1,suka tapi akhir akhir ini selalu loading😪,2025-08-31 16.09.22
Abil Rafi,1,"yang bener aja, Live'nya ilang, mau aja dibungkam",2025-08-31 16.04.23
Zidney Kusuma,1,fitur live sering di baned tidak jelas. sering take down konten2 pendidikan,2025-08-31 16.03.17
Rojul Edi,1,"No good, no live streaming",2025-08-31 15.42.45
Arfan ramadani,1,Buruk,2025-08-31 15.37.07
wilfridus aditya,1,tidak bisa live untuk server indo,2025-08-31 15.04.12
Erna Wati,1,live di matikan,2025-08-31 14.33.52
Ahim Maulana,1,parah banget nih tiktok sekarang,2025-08-31 14.32.09
Sakiyahfaaz Asyafi,1,sangatt buruk,2025-08-31 14.02.08
Mr. Puthin,1,"This app has become a tool to silence the truth in the corrupt Indonesian government. TikTok has removed the live feature in Indonesia. Silencing the truth about the violence perpetrated by Indonesian police against its citizens who are fighting against an arbitrary government, strangling them with taxes, and other such acts. Indonesia is a democracy, meaning that sovereignty rests with the people, not an arbitrary and corrupt government.",2025-08-31 13.42.04
Andrini Rosa Putri Siregar,1,tidak berguna,2025-08-31 12.38.24
Muh Yusuf Zulkarnain,1,fitur live hilang di Indonesia,2025-08-31 12.16.19
Zayrie z,1,Live tiktok knapa di matikan di indonesia??,2025-08-31 12.05.16
Bimo Ireng70,1,kacauuuuuuuuu,2025-08-31 11.52.17
Fatih Muhammad,1,performing live is not possible,2025-08-31 11.44.47
Ronal Potret,1,Kacung pemerintah,2025-08-31 11.36.50
Eddi Junaedi,1,fitur live ilang,2025-08-31 11.34.27
Eshoo queen,1,tidak bisa live,2025-08-31 11.27.39
Faas Faas,1,fitur live kenapa di matiin sihh 😡,2025-08-31 10.45.32
Ronaldo Kaban,1,fitur live di Indonesia hilang,2025-08-31 10.26.59
Kang Beno,1,"gak tanggung jawab,kalo kesalahan kecil,contoh merokok pl,knapa tiktok sendiri gak adil.platfotm apaan.jelS banyak di rugikan tiktok pun juga rugi.tutup aja platform nya",2025-08-31 09.38.19
randie Priatna,1,ga ada live,2025-08-31 09.23.02
Kreti Alberthus,1,fitur live hilang di Indonesia,2025-08-31 09.11.26
Jainul Brawijaya,1,"Kenapa akun saya fitur live nya hilang, sedangkan saya berada di Brunei darusalam, bukan di indonesia",2025-08-31 08.48.22
Farel Habiburrahman,1,nggak bisa live,2025-08-31 08.21.22
Rendy Triananda,1,rakyat dibungkam,2025-08-31 04.30.44
BOTH ACCOUNT,1,tidak bisa live,2025-08-31 03.46.06
cekil xd,1,Buruk,2025-08-31 03.37.05
Rayhan Darmawan,1,tolo1 ga bisa live,2025-08-31 03.27.27
Dewisri widowati,1,mau aja di atur pemerintah kocak kocak,2025-08-31 02.59.15
Calung Harapan mekar,1,buka fitur live blok,2025-08-31 02.43.55
Selly Chan,1,apasih? ada apknya tapi disuruh instal lg,2025-08-31 02.22.54
Iyan Sugiyan,1,fitur live streming di matikan ketika ada unjuk rasa di gedung parlemen pemerintahan indonesia,2025-08-31 01.57.58
Ubrera74,5,The best,2025-08-31 01.39.52
Sidonia Gimarais,5,tiktok sangat bermanfat Karna bisa belajar sesuatu di sanaa,2025-08-31 01.38.16
pedoWww 01,1,ngelag bgt ini apl,2025-08-31 01.32.32
febi agustin,1,apk ga jls,2025-08-31 01.30.17
amoeba channel,1,tiktok dukung dpr,2025-08-31 01.23.06
Choco Chips,1,tidak bisa live,2025-08-31 00.42.30
Nekad Traveler,1,banyak bug,2025-08-31 00.32.36
Farha Dina6,1,"bisa"" nya bungkam terhadap pendemo....",2025-08-31 00.29.23
Kiki Aprianingsih,1,kacung pemerintah,2025-08-31 00.17.26
Tomo Selamet,1,jangan sembunyikan apa yang terjadi di indonesia biarkan dunia melihat seperti apa hasil dari pemerintahan indonesia,2025-08-30 23.55.23
INISIAL B,1,di suruh blokir live cepet banget. giliran suruh blokir situs judi online ber abad2,2025-08-30 23.44.29
Raeyza Desmo,1,disaat menyerukan keadilan tiktok memblokir live di sluruh indonesia. kami ingin hak kami di dengar oleh dpr.,2025-08-30 23.36.38
Rizz Pratama,1,membungkam rakyat,2025-08-30 23.21.47
Mayan mayan,1,mana live nya..,2025-08-30 22.13.44
Ari Setiawati,1,kasih bintang 1 karena mendukung para tikus² yang ada di Indonesia.,2025-08-30 21.45.22
Agus Prahmono,1,sangat tidak relevan,2025-08-30 21.37.02
Devi Damayanti,1,parah ga bisa live,2025-08-30 21.07.18
Herry Hiunarto,1,aplikasi sampah,2025-08-30 20.12.51
Aina Cempaka,5,bagus sekali,2025-08-30 20.01.47
Jose Beto,1,Aplikasi nya ga bagus di region kami gabisa live,2025-08-30 19.48.56
Mohamad Saddam Soleh,1,tolong untuk mengaktifkan layanan live lagi di negara indonesia,2025-08-30 19.32.59
Aiswarya _,1,30 Agustus hari dimana live tiktok dan aplikasi lainnya di nonaktifkan secara paksa!!,2025-08-30 19.09.15
